Year,Month,Month#,Project,Resource Type,Man-Hours
2026,January,1,AGONEWorkj,Product,0
2026,January,1,AGONEWorkj,UI/UX,0
2026,January,1,AGONEWorkj,Dev,0
2026,January,1,AGONEWorkj,QA,0
2026,January,1,OJE Safe,Product,0
2026,January,1,OJE Safe,UI/UX,0
2026,January,1,OJE Safe,Dev,0
2026,January,1,OJE Safe,QA,0
2026,January,1,ONe Learn,Product,0
2026,January,1,ONe Learn,UI/UX,0
2026,January,1,ONe Learn,Dev,0
2026,January,1,ONe Learn,QA,0
2026,January,1,Ne Pulse,Product,0
2026,January,1,Ne Pulse,UI/UX,0
2026,January,1,Ne Pulse,Dev,0
2026,January,1,Ne Pulse,QA,0
2026,January,1,AGONE,Product,0
2026,January,1,AGONE,UI/UX,0
2026,January,1,AGONE,Dev,0
2026,January,1,AGONE,QA,0
2026,February,2,AGONEWorkj,Product,0
2026,February,2,AGONEWorkj,UI/UX,0
2026,February,2,AGONEWorkj,Dev,0
2026,February,2,AGONEWorkj,QA,0
2026,February,2,OJE Safe,Product,0
2026,February,2,OJE Safe,UI/UX,0
2026,February,2,OJE Safe,Dev,0
2026,February,2,OJE Safe,QA,0
2026,February,2,ONe Learn,Product,0
2026,February,2,ONe Learn,UI/UX,0
2026,February,2,ONe Learn,Dev,0
2026,February,2,ONe Learn,QA,0
2026,February,2,Ne Pulse,Product,0
2026,February,2,Ne Pulse,UI/UX,0
2026,February,2,Ne Pulse,Dev,0
2026,February,2,Ne Pulse,QA,0
2026,February,2,AGONE,Product,0
2026,February,2,AGONE,UI/UX,0
2026,February,2,AGONE,Dev,0
2026,February,2,AGONE,QA,0
2026,March,3,AGONEWorkj,Product,0
2026,March,3,AGONEWorkj,UI/UX,0
2026,March,3,AGONEWorkj,Dev,0
2026,March,3,AGONEWorkj,QA,0
2026,March,3,OJE Safe,Product,0
2026,March,3,OJE Safe,UI/UX,0
2026,March,3,OJE Safe,Dev,0
2026,March,3,OJE Safe,QA,0
2026,March,3,ONe Learn,Product,0
2026,March,3,ONe Learn,UI/UX,0
2026,March,3,ONe Learn,Dev,0
2026,March,3,ONe Learn,QA,0
2026,March,3,Ne Pulse,Product,0
2026,March,3,Ne Pulse,UI/UX,0
2026,March,3,Ne Pulse,Dev,0
2026,March,3,Ne Pulse,QA,0
2026,March,3,AGONE,Product,0
2026,March,3,AGONE,UI/UX,0
2026,March,3,AGONE,Dev,0
2026,March,3,AGONE,QA,0
2026,April,4,AGONEWorkj,Product,0
2026,April,4,AGONEWorkj,UI/UX,0
2026,April,4,AGONEWorkj,Dev,0
2026,April,4,AGONEWorkj,QA,0
2026,April,4,OJE Safe,Product,0
2026,April,4,OJE Safe,UI/UX,0
2026,April,4,OJE Safe,Dev,0
2026,April,4,OJE Safe,QA,0
2026,April,4,ONe Learn,Product,0
2026,April,4,ONe Learn,UI/UX,0
2026,April,4,ONe Learn,Dev,0
2026,April,4,ONe Learn,QA,0
2026,April,4,Ne Pulse,Product,0
2026,April,4,Ne Pulse,UI/UX,0
2026,April,4,Ne Pulse,Dev,0
2026,April,4,Ne Pulse,QA,0
2026,April,4,AGONE,Product,0
2026,April,4,AGONE,UI/UX,0
2026,April,4,AGONE,Dev,0
2026,April,4,AGONE,QA,0
2026,May,5,AGONEWorkj,Product,0
2026,May,5,AGONEWorkj,UI/UX,0
2026,May,5,AGONEWorkj,Dev,0
2026,May,5,AGONEWorkj,QA,0
2026,May,5,OJE Safe,Product,0
2026,May,5,OJE Safe,UI/UX,0
2026,May,5,OJE Safe,Dev,0
2026,May,5,OJE Safe,QA,0
2026,May,5,ONe Learn,Product,0
2026,May,5,ONe Learn,UI/UX,0
2026,May,5,ONe Learn,Dev,0
2026,May,5,ONe Learn,QA,0
2026,May,5,Ne Pulse,Product,0
2026,May,5,Ne Pulse,UI/UX,0
2026,May,5,Ne Pulse,Dev,0
2026,May,5,Ne Pulse,QA,0
2026,May,5,AGONE,Product,0
2026,May,5,AGONE,UI/UX,0
2026,May,5,AGONE,Dev,0
2026,May,5,AGONE,QA,0
